Clau,Accidents,Mat,Tar,Nit,Mat_P,Tar_p,Nit_p
1420173,10,3.0,6.0,1.0,0.3,0.6,0.1
1420174,13,5.0,5.0,3.0,0.38461538461538464,0.38461538461538464,0.23076923076923078
1420181,8,3.0,2.0,3.0,0.375,0.25,0.375
1420182,13,8.0,2.0,3.0,0.6153846153846154,0.15384615384615385,0.23076923076923078
1420183,7,2.0,5.0,0.0,0.2857142857142857,0.7142857142857143,0.0
1420184,14,8.0,5.0,1.0,0.5714285714285714,0.35714285714285715,0.07142857142857142
1420191,12,5.0,5.0,2.0,0.4166666666666667,0.4166666666666667,0.16666666666666666
1420192,16,4.0,10.0,2.0,0.25,0.625,0.125
1420193,18,8.0,10.0,0.0,0.4444444444444444,0.5555555555555556,0.0
1420194,14,4.0,8.0,2.0,0.2857142857142857,0.5714285714285714,0.14285714285714285
1420201,15,2.0,11.0,2.0,0.13333333333333333,0.7333333333333333,0.13333333333333333
1420202,4,1.0,2.0,1.0,0.25,0.5,0.25
1420203,10,5.0,4.0,1.0,0.5,0.4,0.1
1420204,5,3.0,2.0,0.0,0.6,0.4,0.0
1420211,20,12.0,8.0,0.0,0.6,0.4,0.0
1420212,14,7.0,5.0,2.0,0.5,0.35714285714285715,0.14285714285714285
1420213,10,1.0,5.0,4.0,0.1,0.5,0.4
1420214,18,5.0,9.0,4.0,0.2777777777777778,0.5,0.2222222222222222
1420221,10,3.0,6.0,1.0,0.3,0.6,0.1
1420222,20,5.0,14.0,1.0,0.25,0.7,0.05
1420223,13,5.0,4.0,4.0,0.38461538461538464,0.3076923076923077,0.3076923076923077
1420224,6,2.0,1.0,3.0,0.3333333333333333,0.16666666666666666,0.5
1520161,20,7.0,11.0,2.0,0.35,0.55,0.1
1520162,20,8.0,10.0,2.0,0.4,0.5,0.1
1520163,21,7.0,10.0,4.0,0.3333333333333333,0.47619047619047616,0.19047619047619047
1520164,23,9.0,12.0,2.0,0.391304347826087,0.5217391304347826,0.08695652173913043
1520171,24,9.0,12.0,3.0,0.375,0.5,0.125
1520172,31,10.0,18.0,3.0,0.3225806451612903,0.5806451612903226,0.0967741935483871
1520173,38,17.0,13.0,8.0,0.4473684210526316,0.34210526315789475,0.21052631578947367
1520174,32,15.0,14.0,3.0,0.46875,0.4375,0.09375
1520181,36,12.0,22.0,2.0,0.3333333333333333,0.6111111111111112,0.05555555555555555
1520182,36,14.0,14.0,8.0,0.3888888888888889,0.3888888888888889,0.2222222222222222
1520183,36,7.0,22.0,7.0,0.19444444444444445,0.6111111111111112,0.19444444444444445
1520184,31,9.0,17.0,5.0,0.2903225806451613,0.5483870967741935,0.16129032258064516
1520191,40,20.0,17.0,3.0,0.5,0.425,0.075
1520192,43,12.0,27.0,4.0,0.27906976744186046,0.627906976744186,0.09302325581395349
1520193,39,18.0,16.0,5.0,0.46153846153846156,0.41025641025641024,0.1282051282051282
1520194,42,13.0,24.0,5.0,0.30952380952380953,0.5714285714285714,0.11904761904761904
1520201,46,14.0,27.0,5.0,0.30434782608695654,0.5869565217391305,0.10869565217391304
1520202,14,5.0,4.0,5.0,0.35714285714285715,0.2857142857142857,0.35714285714285715
1520203,36,12.0,20.0,4.0,0.3333333333333333,0.5555555555555556,0.1111111111111111
1520204,32,18.0,12.0,2.0,0.5625,0.375,0.0625
1520211,27,9.0,15.0,3.0,0.3333333333333333,0.5555555555555556,0.1111111111111111
1520212,34,15.0,18.0,1.0,0.4411764705882353,0.5294117647058824,0.029411764705882353
1520213,27,8.0,18.0,1.0,0.2962962962962963,0.6666666666666666,0.037037037037037035
1520214,26,7.0,15.0,4.0,0.2692307692307692,0.5769230769230769,0.15384615384615385
1520221,26,13.0,10.0,3.0,0.5,0.38461538461538464,0.11538461538461539
1520222,29,14.0,13.0,2.0,0.4827586206896552,0.4482758620689655,0.06896551724137931
1520223,42,19.0,15.0,8.0,0.4523809523809524,0.35714285714285715,0.19047619047619047
1520224,22,7.0,13.0,2.0,0.3181818181818182,0.5909090909090909,0.09090909090909091
1620161,16,7.0,9.0,0.0,0.4375,0.5625,0.0
1620162,28,11.0,14.0,3.0,0.39285714285714285,0.5,0.10714285714285714
1620163,24,8.0,9.0,7.0,0.3333333333333333,0.375,0.2916666666666667
1620164,20,9.0,9.0,2.0,0.45,0.45,0.1
1620171,26,9.0,15.0,2.0,0.34615384615384615,0.5769230769230769,0.07692307692307693
1620172,41,21.0,14.0,6.0,0.5121951219512195,0.34146341463414637,0.14634146341463414
1620173,24,7.0,12.0,5.0,0.2916666666666667,0.5,0.20833333333333334
1620174,27,13.0,13.0,1.0,0.48148148148148145,0.48148148148148145,0.037037037037037035
1620181,25,15.0,7.0,3.0,0.6,0.28,0.12
1620182,31,21.0,8.0,2.0,0.6774193548387096,0.25806451612903225,0.06451612903225806
1620183,30,8.0,16.0,6.0,0.26666666666666666,0.5333333333333333,0.2
1620184,24,12.0,11.0,1.0,0.5,0.4583333333333333,0.041666666666666664
1620191,32,18.0,12.0,2.0,0.5625,0.375,0.0625
1620192,24,11.0,9.0,4.0,0.4583333333333333,0.375,0.16666666666666666
1620193,32,8.0,14.0,10.0,0.25,0.4375,0.3125
1620194,39,18.0,13.0,8.0,0.46153846153846156,0.3333333333333333,0.20512820512820512
1620201,34,20.0,10.0,4.0,0.5882352941176471,0.29411764705882354,0.11764705882352941
1620202,16,5.0,9.0,2.0,0.3125,0.5625,0.125
1620203,26,14.0,9.0,3.0,0.5384615384615384,0.34615384615384615,0.11538461538461539
1620204,22,8.0,9.0,5.0,0.36363636363636365,0.4090909090909091,0.22727272727272727
1620211,23,11.0,12.0,0.0,0.4782608695652174,0.5217391304347826,0.0
1620212,32,8.0,20.0,4.0,0.25,0.625,0.125
1620213,19,7.0,11.0,1.0,0.3684210526315789,0.5789473684210527,0.05263157894736842
1620214,28,10.0,14.0,4.0,0.35714285714285715,0.5,0.14285714285714285
1620221,20,5.0,12.0,3.0,0.25,0.6,0.15
1620222,25,9.0,12.0,4.0,0.36,0.48,0.16
1620223,29,10.0,13.0,6.0,0.3448275862068966,0.4482758620689655,0.20689655172413793
1620224,36,11.0,19.0,6.0,0.3055555555555556,0.5277777777777778,0.16666666666666666
1720161,9,1.0,5.0,3.0,0.1111111111111111,0.5555555555555556,0.3333333333333333
1720162,12,6.0,6.0,0.0,0.5,0.5,0.0
1720163,8,1.0,4.0,3.0,0.125,0.5,0.375
1720164,21,5.0,13.0,3.0,0.23809523809523808,0.6190476190476191,0.14285714285714285
1720171,14,6.0,7.0,1.0,0.42857142857142855,0.5,0.07142857142857142
1720172,16,4.0,11.0,1.0,0.25,0.6875,0.0625
1720173,13,6.0,5.0,2.0,0.46153846153846156,0.38461538461538464,0.15384615384615385
1720174,24,7.0,10.0,7.0,0.2916666666666667,0.4166666666666667,0.2916666666666667
1720181,18,10.0,4.0,4.0,0.5555555555555556,0.2222222222222222,0.2222222222222222
1720182,18,10.0,6.0,2.0,0.5555555555555556,0.3333333333333333,0.1111111111111111
1720183,17,5.0,12.0,0.0,0.29411764705882354,0.7058823529411765,0.0
1720184,15,4.0,6.0,5.0,0.26666666666666666,0.4,0.3333333333333333
1720191,12,6.0,4.0,2.0,0.5,0.3333333333333333,0.16666666666666666
1720192,18,8.0,7.0,3.0,0.4444444444444444,0.3888888888888889,0.16666666666666666
1720193,15,5.0,9.0,1.0,0.3333333333333333,0.6,0.06666666666666667
1720194,26,11.0,11.0,4.0,0.4230769230769231,0.4230769230769231,0.15384615384615385
1720201,18,8.0,8.0,2.0,0.4444444444444444,0.4444444444444444,0.1111111111111111
1720202,8,2.0,5.0,1.0,0.25,0.625,0.125
1720203,13,4.0,8.0,1.0,0.3076923076923077,0.6153846153846154,0.07692307692307693
1720204,17,8.0,9.0,0.0,0.47058823529411764,0.5294117647058824,0.0
1720211,7,4.0,3.0,0.0,0.5714285714285714,0.42857142857142855,0.0
1720212,13,5.0,6.0,2.0,0.38461538461538464,0.46153846153846156,0.15384615384615385
1720213,10,3.0,7.0,0.0,0.3,0.7,0.0
