"Codi_Districte","Nom_Districte","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"2","Eixample","50-55 dB","2.38%","1.30%","3.32%","9.04%","2.23%","1.44%","3.50%","7.70%","4.24%","4.90%","4.99%","6.57%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.07%","0.91%","0.58%","3.20%","0.00%","0.00%"
"2","Eixample","55-60 dB","7.65%","6.10%","11.31%","5.66%","2.27%","3.38%","11.44%","1.68%","5.24%","4.96%","3.73%","5.14%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.91%","0.86%","1.32%","4.12%","3.21%","0.00%"
"2","Eixample","60-65 dB","9.60%","13.12%","29.82%","7.33%","6.87%","10.72%","30.71%","5.26%","4.37%","3.80%","5.11%","4.89%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.11%","0.01%","2.16%","2.06%","2.06%","0.00%"
"2","Eixample","65-70 dB","26.42%","30.77%","9.69%","17.69%","26.35%","30.70%","8.42%","17.55%","3.60%","4.84%","5.88%","3.21%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.02%","0.00%","0.00%","0.00%"
"2","Eixample","70-75 dB","18.34%","9.34%","0.00%","27.15%","18.30%","9.33%","0.00%","27.20%","7.79%","6.24%","0.00%","7.24%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","75-80 dB","0.96%","0.01%","0.00%","3.54%","0.95%","0.01%","0.00%","3.39%","0.74%","0.01%","0.00%","2.82%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","<40 dB","6.46%","14.58%","36.78%","1.07%","7.50%","16.12%","37.02%","1.66%","58.69%","66.02%","79.49%","51.97%","99.99%","100.00%","99.99%","99.97%","99.96%","100.00%","100.00%","99.94%","91.25%","92.56%","95.28%","94.67%","97.92%","99.70%"
"3","Sants-Montjuïc","40-45 dB","18.73%","19.43%","8.79%","18.63%","22.82%","20.55%","9.07%","22.25%","17.73%","13.41%","6.18%","19.64%","0.01%","0.00%","0.01%","0.02%","0.04%","0.00%","0.00%","0.03%","3.41%","4.33%","1.37%","0.00%","0.00%","0.19%"
"3","Sants-Montjuïc","45-50 dB","12.19%","9.01%","9.28%","14.94%","13.22%","9.27%","9.54%","16.47%","7.99%","6.26%","3.11%","10.67%","0.00%","0.00%","0.00%","0.01%","0.00%","0.00%","0.00%","0.03%","3.82%","2.16%","0.79%","0.00%","0.00%","0.11%"
