"Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"2","Eixample","7","la Dreta de l'Eixample",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","<40 dB","0.13%","0.13%","8.64%","0.13%","0.14%","0.14%","12.37%","0.14%","8.71%","16.42%","57.89%","3.78%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","99.30%","99.26%","70.79%","88.32%","93.86%","100.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","40-45 dB","0.00%","5.33%","36.85%","0.00%","0.00%","6.23%","33.23%","0.00%","37.55%","40.82%","11.77%","30.59%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.43%","0.35%","5.02%","0.00%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","45-50 dB","32.58%","33.57%","1.14%","23.25%","43.60%","38.74%","1.31%","34.84%","21.98%","12.48%","5.57%","30.08%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.17%","0.28%","4.62%","0.00%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","50-55 dB","2.16%","1.68%","0.90%","14.35%","2.26%","1.73%","1.95%","10.85%","4.30%","5.35%","5.62%","6.59%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.46%","3.85%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","55-60 dB","9.52%","5.19%","5.78%","6.35%","2.05%","1.94%","5.95%","1.61%","6.38%","5.57%","4.53%","5.92%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.10%","0.02%","6.10%","4.97%","3.28%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","60-65 dB","5.99%","8.25%","27.75%","4.09%","2.39%","5.38%","33.59%","1.98%","5.04%","4.54%","7.42%","5.71%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.09%","10.91%","2.86%","2.86%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","65-70 dB","22.18%","32.30%","18.92%","12.33%","22.12%","32.30%","11.58%","11.91%","4.14%","6.88%","7.18%","4.19%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.10%","0.00%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","70-75 dB","26.28%","13.50%","0.02%","35.54%","26.28%","13.49%","0.02%","35.46%","11.01%","7.90%","0.02%","10.38%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample","75-80 dB","1.16%","0.05%","0.00%","3.96%","1.16%","0.05%","0.00%","3.21%","0.89%","0.04%","0.00%","2.76%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","8","l'Antiga Esquerra de l'Eixample",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
